year,km_driven,fuel,seller_type,transmission,owner,seats,mileage,engine_size,brake_horsepower,SalePrice
2017,70000,Diesel,Individual,Manual,First Owner,5,24.3,1248,88.5,6700
2012,35000,Petrol,Individual,Manual,Second Owner,5,14,796,35,1500
2018,2388,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.83,7300
2017,16200,Diesel,Individual,Manual,First Owner,5,24.3,1248,88.5,6500
2019,15000,Petrol,Individual,Manual,First Owner,5,23.95,998,67.1,3660
2019,5000,Petrol,Individual,Manual,First Owner,5,17,1591,121.3,11490
2016,42000,Petrol,Individual,Manual,First Owner,5,20.63,1198,67,1500
2011,60000,Diesel,Individual,Manual,Second Owner,7,13.93,2179,138.03,4250
2012,76000,Petrol,Individual,Manual,First Owner,4,16.1,796,37,1500
2019,5000,Petrol,Individual,Automatic,First Owner,5,16,1368,160.77,21000
2018,28900,Petrol,Dealer,Manual,First Owner,5,17.8,1497,117.3,9250
2013,86300,Petrol,Dealer,Manual,First Owner,5,16.8,1497,116.3,4250
2018,23300,Petrol,Dealer,Automatic,First Owner,5,18.5,1197,83.14,6750
2018,32600,Diesel,Dealer,Manual,First Owner,5,24.3,1248,88.5,8199.99
2018,10300,Petrol,Dealer,Manual,First Owner,5,23.95,998,67.05,3900
2014,77000,Diesel,Dealer,Manual,First Owner,7,12.55,2982,168.5,15000
2013,99000,Diesel,Dealer,Manual,First Owner,7,12.99,2494,100,7000
2014,27800,Diesel,Dealer,Automatic,Second Owner,5,14.8,2143,120.7,14500
2015,49800,Diesel,Dealer,Manual,First Owner,5,24.7,1498,98.63,4250
2013,151000,Diesel,Dealer,Manual,First Owner,7,13.5,2477,175.56,10900
2015,54700,Diesel,Dealer,Manual,First Owner,5,26,1498,98.6,6000
2018,64000,Petrol,Dealer,Manual,First Owner,5,20.65,1462,103.25,8500
2015,63000,Diesel,Dealer,Manual,First Owner,5,27.3,1498,98.6,5250
2016,127700,Diesel,Dealer,Automatic,Second Owner,7,11.36,2755,171.5,16500
2016,99000,Diesel,Dealer,Manual,First Owner,7,12.99,2494,100.6,9500
2013,33900,Diesel,Dealer,Automatic,Second Owner,5,17.68,1968,174.33,17500
2018,25000,Petrol,Dealer,Automatic,First Owner,5,14.28,1798,138.03,15900
2013,50000,Diesel,Dealer,Automatic,First Owner,5,18.53,1968,187.74,16899.99
2013,59000,Diesel,Dealer,Automatic,First Owner,5,14.84,2143,170,14250
2011,120000,Diesel,Individual,Manual,First Owner,5,21.12,1248,88.8,2650
2011,110000,Petrol,Individual,Manual,Third Owner,5,20.36,1197,78.9,1900
2013,60000,Diesel,Individual,Manual,First Owner,5,21.27,1396,88.76,4250
2015,147000,Diesel,Individual,Manual,Second Owner,5,26.59,1248,74,6300
2017,25000,Petrol,Individual,Manual,Third Owner,5,18.16,1196,86.8,6000
2019,30000,Petrol,Individual,Manual,First Owner,5,21.4,1197,83.1,6500
2016,40000,Diesel,Individual,Manual,First Owner,5,22,1498,108.495,5400
2015,135000,Diesel,Individual,Manual,First Owner,5,25.1,1498,98.6,6300
2018,30000,Petrol,Individual,Automatic,First Owner,5,20.51,998,67,4480
2017,80000,Diesel,Individual,Manual,First Owner,5,21.66,1498,108.62,5000
2016,70000,Diesel,Individual,Manual,First Owner,5,24.3,1248,88.5,7450
2019,9850,Diesel,Individual,Automatic,First Owner,5,24.3,1248,88.5,10250
2011,60000,Petrol,Individual,Manual,Second Owner,5,20.36,1197,78.9,2350
2016,70000,Diesel,Individual,Manual,First Owner,5,25.2,1248,74,6300
2015,78000,Diesel,Individual,Manual,Second Owner,7,12.55,2982,168.5,17000
2013,120000,Diesel,Individual,Manual,Second Owner,5,22.9,1248,74,4500
2012,120000,Petrol,Individual,Manual,Second Owner,7,16.02,1373,93.7,4500
2013,170000,Diesel,Individual,Manual,First Owner,5,20.54,1598,103.6,4500
2016,140000,Diesel,Individual,Manual,First Owner,8,12.99,2494,100.6,12000
2015,90000,Diesel,Individual,Manual,First Owner,5,22.77,1498,98.59,6100
2016,30000,Petrol,Individual,Automatic,Second Owner,5,15.71,1998,189,25000
2017,10000,Petrol,Dealer,Manual,First Owner,5,23.1,998,67.04,4849.99
2016,49000,Petrol,Dealer,Manual,First Owner,5,19.02,1198,67.05,2750
2016,32000,Petrol,Dealer,Manual,First Owner,5,24.7,796,47.3,3150
2016,38000,Petrol,Dealer,Manual,First Owner,5,24.7,796,47.3,2750
2012,28000,Petrol,Dealer,Manual,First Owner,5,19.81,1086,68.05,2900
2017,32000,Petrol,Dealer,Manual,First Owner,5,14,796,35,2800
2015,42000,Petrol,Dealer,Manual,First Owner,5,16.47,1198,74,4550
2015,45000,Petrol,Dealer,Manual,Second Owner,5,19.81,1086,68.05,3510
2012,12000,Petrol,Dealer,Manual,Second Owner,5,15.04,1598,103.6,5350
2009,55500,Petrol,Dealer,Manual,First Owner,5,18.2,998,67.1,1750
2013,61500,Petrol,Dealer,Manual,First Owner,5,18.5,1197,82.85,5250
2016,150000,Diesel,Individual,Manual,First Owner,5,26.59,1248,74,6000
2016,72000,Petrol,Dealer,Automatic,First Owner,5,19.1,1197,82,5650
2008,68000,Petrol,Dealer,Manual,Third Owner,5,19.7,796,46.3,1200
2017,110000,Diesel,Individual,Manual,First Owner,5,22.54,1396,88.73,7250
2009,77000,Petrol,Dealer,Manual,Second Owner,5,21.79,998,67.05,1850
2010,100000,Diesel,Individual,Manual,Second Owner,5,18.8,1248,90,2000
2019,10000,Petrol,Individual,Manual,First Owner,5,21.21,1197,81.8,6150
2016,100000,Petrol,Individual,Manual,Third Owner,7,15.37,1196,73,2700
2018,35000,Petrol,Individual,Manual,First Owner,5,21.4,1197,83.1,6100
2014,70000,Diesel,Individual,Automatic,Second Owner,8,11.79,2179,120,6250
2020,5000,Petrol,Individual,Manual,Second Owner,5,19,1194,94.68,4000
2017,37800,Petrol,Individual,Manual,First Owner,5,17,1591,121.3,8660
2010,114000,Petrol,Individual,Manual,First Owner,5,14.3,1798,160,7000
2010,48000,Petrol,Individual,Manual,First Owner,5,15.8,1172,65,3000
2019,32000,Diesel,Individual,Manual,First Owner,7,15.1,2179,155,17000
2016,100000,Diesel,Individual,Manual,First Owner,5,19.09,1405,69.01,3750
2013,150000,Diesel,Individual,Manual,Second Owner,5,22.32,1582,126.32,5220
2013,69000,Diesel,Individual,Manual,First Owner,5,21.9,1396,88.76,4519.99
2009,100000,Petrol,Individual,Manual,Second Owner,5,14.53,1798,138.1,3000
2020,13000,Petrol,Individual,Manual,First Owner,5,21.63,998,67.04,4750
2016,60000,Diesel,Individual,Manual,First Owner,5,24.3,1248,88.5,7800
2017,40000,Petrol,Individual,Manual,First Owner,5,20.85,1197,83.14,5950
2017,35000,Petrol,Individual,Manual,First Owner,5,20.51,998,67.04,4400
2014,70000,Diesel,Individual,Manual,Third Owner,5,20.45,1461,83.8,4000
2016,50000,Diesel,Individual,Manual,First Owner,5,19.67,1582,126.2,11400
2017,76139,Diesel,Individual,Manual,First Owner,5,23,1498,98.96,8500
2012,175000,Diesel,Individual,Manual,Fourth & Above Owner,5,19.3,1248,73.9,3700
2018,25000,Petrol,Individual,Manual,First Owner,5,23.01,999,67,3500
2015,40000,Petrol,Individual,Manual,Second Owner,5,23.1,998,67.04,3600
2008,65000,Petrol,Individual,Manual,Fourth & Above Owner,5,19.7,796,46.3,1050
2013,90000,Diesel,Individual,Manual,Second Owner,7,20.77,1248,88.76,6250
2009,80000,Petrol,Individual,Manual,Second Owner,5,17.92,1086,62.1,1350
2015,110000,Diesel,Individual,Manual,Second Owner,7,20.77,1248,88.76,7000
2019,1303,Petrol,Dealer,Manual,First Owner,5,17.8,1198,86.7,6900
2018,31800,Diesel,Dealer,Automatic,First Owner,5,17.01,1968,188,39750
2019,20000,Petrol,Dealer,Automatic,First Owner,5,22.37,2487,214.56,51500
2017,45000,Diesel,Dealer,Automatic,First Owner,5,19.33,1999,177,32000
2017,17000,Petrol,Individual,Automatic,First Owner,5,9.5,3604,280,41000
2019,21000,Diesel,Dealer,Automatic,First Owner,7,12.83,1999,148.31,45000
2017,37000,Diesel,Dealer,Automatic,First Owner,5,13.5,2987,254.79,60000
2018,29500,Diesel,Dealer,Automatic,First Owner,5,22.48,1995,187.74,37900
2019,7500,Diesel,Dealer,Automatic,First Owner,5,16.78,1995,190,58000
2018,50000,Petrol,Dealer,Automatic,First Owner,5,14.67,1798,177.46,18649.99
2016,35000,Diesel,Dealer,Automatic,First Owner,5,15,2143,204,27000
2019,19000,Petrol,Dealer,Automatic,First Owner,5,13.96,1451,141,17500
2017,41000,Petrol,Dealer,Automatic,First Owner,5,18,1497,117.6,7950
2013,39000,Petrol,Dealer,Automatic,First Owner,5,14.28,1798,138.03,6250
2018,22000,Diesel,Dealer,Automatic,First Owner,5,18,1969,190,34000
2015,53000,Diesel,Dealer,Automatic,First Owner,7,12.07,2967,241.4,26500
2015,40000,Diesel,Dealer,Manual,First Owner,5,26.21,1248,88.5,5350
2017,47000,Diesel,Dealer,Automatic,First Owner,5,13.5,2987,282,58500
2010,72200,Petrol,Dealer,Automatic,Second Owner,5,10.8,2497,150,9750
2016,49900,Petrol,Dealer,Manual,First Owner,5,16.3,1797,147.5,8050
2017,9000,Diesel,Dealer,Automatic,First Owner,5,13.6,1999,177,26250
2018,11000,Petrol,Dealer,Manual,First Owner,5,17,1198,108.5,8110
2011,49000,Petrol,Individual,Manual,First Owner,5,15.04,1598,103.6,3750
2012,95000,Petrol,Individual,Manual,First Owner,5,16.3,1797,147.5,5500
2016,11000,Petrol,Dealer,Automatic,First Owner,5,14.3,1598,103.5,6450
2018,18000,Petrol,Dealer,Automatic,First Owner,5,15.04,1991,183,25500
2014,46100,Petrol,Dealer,Manual,First Owner,7,16.02,1373,93.7,5990
2017,16000,Petrol,Dealer,Automatic,First Owner,5,14.74,1991,181.04,27000
2017,18000,Petrol,Dealer,Automatic,First Owner,5,15.6,1497,116.3,8750
2019,9654,Petrol,Dealer,Automatic,First Owner,5,19.56,1197,81.8,8949.99
2011,11000,Petrol,Dealer,Manual,First Owner,5,23.95,998,67.05,1750
2012,24300,Petrol,Dealer,Manual,First Owner,5,21.21,1197,81.8,3400
2016,42163,Diesel,Dealer,Automatic,Second Owner,7,11.36,2755,171.5,15250
2018,8000,Diesel,Dealer,Automatic,First Owner,5,21.5,1497,108.5,10250
2016,30000,Diesel,Dealer,Automatic,First Owner,5,22.69,1995,190,21500
2016,41000,Petrol,Dealer,Automatic,First Owner,5,19.16,2494,157.7,19000
2016,12000,Diesel,Dealer,Automatic,First Owner,5,18.12,1995,190,29000
2009,71000,Petrol,Dealer,Automatic,First Owner,5,12.1,2362,164.7,4500
2016,20000,Petrol,Individual,Manual,First Owner,7,17.5,1373,91.1,8500
2017,30000,Petrol,Individual,Automatic,First Owner,4,42,1969,400,100000
2011,100000,Diesel,Individual,Manual,Second Owner,5,20.54,1598,103.6,3000
2018,9500,Petrol,Individual,Manual,First Owner,5,18.16,1196,86.8,5750
2011,120000,Diesel,Individual,Manual,First Owner,5,20,1399,68,1600
2015,36600,Petrol,Individual,Manual,First Owner,5,20.4,1197,81.8,5150
2015,50000,Petrol,Individual,Automatic,Second Owner,5,20.51,998,67,3900
2016,14000,Petrol,Individual,Manual,Second Owner,5,18.6,1197,81.83,5500
1999,40000,Petrol,Individual,Manual,Second Owner,4,16.1,796,37,400
2010,120000,Diesel,Individual,Manual,First Owner,5,21.1,1248,73.9,2200
2015,70000,Petrol,Individual,Manual,First Owner,5,18.9,1197,82,4250
2019,13000,Petrol,Individual,Manual,First Owner,5,19.44,999,75,4800
2014,60000,Petrol,Individual,Manual,Second Owner,5,18.9,1197,82,4000
2014,35000,Petrol,Individual,Manual,First Owner,5,19.1,1197,85.8,4870
2016,44000,Petrol,Individual,Manual,Second Owner,5,19.1,1197,82,3860
2005,120000,Petrol,Individual,Manual,Second Owner,5,13,1493,100,1000
2010,60000,Diesel,Individual,Manual,First Owner,5,21.43,1364,87.2,3000
2000,60000,Petrol,Individual,Manual,First Owner,5,18.5,796,53,1000
2014,30000,Diesel,Individual,Manual,Second Owner,7,13,2982,168.5,17500
2016,15000,Petrol,Individual,Manual,Second Owner,6,18.15,1198,82,4500
2017,90000,Diesel,Individual,Manual,First Owner,5,22.95,1248,74,4900
2009,47000,Petrol,Individual,Manual,Second Owner,5,17,1497,118,3450
2005,90000,Petrol,Individual,Manual,First Owner,5,17.3,993,60,850
2010,120600,Petrol,Individual,Manual,Second Owner,5,18.9,998,67.1,2150
2010,100000,Petrol,Individual,Manual,Third Owner,5,16.2,1599,103.2,3200
2016,60000,Petrol,Individual,Manual,Second Owner,5,20.85,1197,83.14,4599.99
2005,86000,Petrol,Individual,Manual,First Owner,5,15.3,1341,83,650
2020,5000,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.86,7200
2017,37000,Diesel,Individual,Manual,First Owner,5,28.09,1248,88.5,8000
2019,14000,Petrol,Individual,Manual,First Owner,5,20.3,1199,84,5200
2015,70000,Diesel,Individual,Manual,First Owner,7,20.77,1248,88.76,5800
2015,50000,Petrol,Individual,Manual,First Owner,5,17.4,1497,117.3,6000
2014,60000,Petrol,Individual,Manual,Second Owner,5,19.4,1198,86.8,2900
2017,50000,Petrol,Individual,Manual,First Owner,5,20.85,1197,83.14,5500
2013,70000,Petrol,Individual,Manual,First Owner,5,18.5,1197,82.85,3750
2018,35000,Petrol,Individual,Automatic,First Owner,5,20.51,998,67,4200
2017,20000,Petrol,Individual,Manual,First Owner,5,21.21,1197,81.8,5500
2018,20000,Petrol,Individual,Manual,First Owner,5,24.7,796,47.3,2700
2018,7800,Petrol,Individual,Automatic,First Owner,5,22,1197,81.8,7000
2017,20000,Petrol,Individual,Manual,First Owner,5,20.4,1197,81.8,5000
2019,15000,Diesel,Individual,Manual,First Owner,7,17.6,2179,147.94,12500
2013,31377,Petrol,Individual,Manual,Second Owner,5,18.5,1197,82.85,3200
2018,50000,Diesel,Individual,Manual,First Owner,5,28.4,1248,74.02,7000
2015,60000,Petrol,Individual,Manual,First Owner,5,20.51,998,67.04,2900
2012,100000,Petrol,Individual,Automatic,First Owner,5,14.53,1794,138.1,5500
2012,60000,Petrol,Individual,Manual,First Owner,5,19.4,1198,86.8,2650
2018,5000,Petrol,Individual,Automatic,First Owner,5,21.4,1197,83.1,8300
2017,60000,Diesel,Individual,Manual,First Owner,7,14.1,2179,147.94,8000
2011,25000,Petrol,Individual,Manual,Second Owner,5,19.7,796,46.3,1600
2018,30000,Petrol,Individual,Manual,First Owner,5,25.17,799,53.3,3350
2017,80000,Petrol,Individual,Manual,Second Owner,5,20.63,1198,67,3290
2017,75000,Diesel,Individual,Manual,First Owner,5,24.3,1248,88.5,7750
2020,32000,Petrol,Individual,Manual,First Owner,5,20.14,1197,81.86,5240
2015,40000,Petrol,Individual,Manual,First Owner,5,22.74,796,47.3,2450
2012,93000,Petrol,Individual,Manual,Second Owner,5,17,1197,80,2750
2018,60000,Petrol,Individual,Manual,First Owner,5,17.57,1193,88.7,5200
2014,37000,Petrol,Individual,Manual,First Owner,5,16.95,1498,97.7,5500
2018,15000,Petrol,Individual,Manual,First Owner,5,17,1497,121.36,9100
2015,80000,Petrol,Individual,Manual,First Owner,5,19.49,1198,67.04,3000
2016,140000,Petrol,Individual,Manual,First Owner,5,20.51,998,67.04,3500
2013,70000,Diesel,Individual,Manual,First Owner,7,12.83,2696,162,9000
2013,120000,Diesel,Individual,Manual,Second Owner,7,17.21,1493,100,3000
2010,110000,Diesel,Individual,Manual,Second Owner,5,21.1,1248,73.9,2500
2017,37000,Diesel,Individual,Manual,First Owner,5,19.67,1582,126.2,11000
2016,44000,Petrol,Individual,Manual,First Owner,5,25.17,799,53.3,2700
2015,80000,Diesel,Individual,Manual,First Owner,7,20.77,1248,88.76,6400
2015,125000,Diesel,Individual,Manual,First Owner,7,15.1,2179,140,6500
2017,13500,Petrol,Individual,Manual,First Owner,5,15.37,1196,73,4099.99
2011,75000,Petrol,Individual,Manual,First Owner,5,17.92,1086,62.1,1650
2007,120000,Petrol,Individual,Manual,Second Owner,5,13.2,1495,94,800
2012,120000,Diesel,Individual,Manual,First Owner,7,15.1,2179,140,5350
2013,70000,Diesel,Individual,Manual,First Owner,7,12.99,2494,100.57,7000
2013,70000,Diesel,Individual,Manual,First Owner,5,23.4,1248,74,5500
2019,15000,Petrol,Individual,Automatic,First Owner,5,19,1199,88.76,6800
2009,53000,Petrol,Individual,Manual,Second Owner,5,20.36,1197,78.9,2000
2014,120000,Diesel,Individual,Manual,Second Owner,5,23.4,1248,74,5000
2016,70000,Diesel,Individual,Manual,First Owner,7,24.52,1248,88.5,10000
2008,120000,Petrol,Individual,Manual,Second Owner,5,14.2,1341,82.9,1100
2012,100000,Petrol,Individual,Manual,Second Owner,5,18.5,1197,80,3200
2015,100000,Petrol,Individual,Manual,First Owner,5,20.4,1197,83.11,3500
2013,162500,Diesel,Individual,Manual,First Owner,5,19.4,1405,70,1700
2017,39000,Diesel,Individual,Manual,First Owner,5,22.54,1396,88.73,8000
2017,75000,Diesel,Individual,Manual,First Owner,5,26.8,1248,74,5000
2017,50000,Diesel,Individual,Automatic,First Owner,7,17.6,2179,153.86,13800
2019,40000,Diesel,Individual,Manual,First Owner,8,17.3,1497,121,13000
2013,92500,Diesel,Individual,Manual,First Owner,5,22.32,1582,126.3,5300
2012,158000,Diesel,Individual,Manual,First Owner,5,23.4,1248,74,3600
2012,120000,Diesel,Individual,Manual,First Owner,5,19.3,1248,73.9,3100
2015,50000,Diesel,Individual,Manual,Second Owner,5,26,1498,98.6,7250
2012,110000,Diesel,Individual,Manual,First Owner,5,19.3,1248,73.9,3400
2017,2000,Diesel,Individual,Manual,Second Owner,5,25.4,1186,73.97,5500
2011,181000,Diesel,Individual,Manual,Second Owner,7,11.5,2982,171,11500
2016,70000,Diesel,Individual,Manual,First Owner,5,27.28,1047,69,3800
2013,90000,Petrol,Individual,Automatic,Second Owner,5,17.97,1498,99.6,3500
2019,2000,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.86,6100
2015,20000,Petrol,Individual,Manual,First Owner,5,20.85,1197,83.14,5250
2011,120000,Diesel,Individual,Manual,First Owner,7,12.8,2494,102,4800
2017,35000,Diesel,Individual,Manual,First Owner,6,16.55,2498,105,7800
2012,193000,Diesel,Individual,Manual,First Owner,5,19.3,1248,73.9,3200
2014,80000,Petrol,Individual,Manual,First Owner,5,20.4,1197,81.8,3750
2019,40000,Petrol,Individual,Manual,First Owner,5,19.02,1198,67.05,3000
2015,70000,Diesel,Individual,Manual,Fourth & Above Owner,5,22.54,1396,88.73,5000
2011,122358,Diesel,Individual,Manual,First Owner,9,12.05,2179,120,4040
2015,75000,Diesel,Individual,Manual,First Owner,7,14.07,2956,69.01,5000
2017,120000,Diesel,Individual,Manual,First Owner,5,27.28,1047,69,3500
2015,40000,Petrol,Individual,Manual,First Owner,5,17.57,1193,88.7,3800
2008,95200,Petrol,Individual,Manual,Third Owner,5,13.2,1495,94,1149.99
2014,33033,Petrol,Dealer,Manual,First Owner,5,19.4,1198,86.8,3350
2015,63063,Petrol,Dealer,Automatic,First Owner,5,18.9,1197,82,4650
2012,60000,Diesel,Individual,Manual,First Owner,5,21.02,1248,88.76,2900
2005,45000,Petrol,Individual,Manual,Second Owner,5,19.7,796,46.3,1100
2011,80000,Diesel,Individual,Manual,Third Owner,7,11.57,2179,138.1,4500
2009,170000,Diesel,Individual,Manual,Second Owner,7,13.6,2523,63,4000
2007,207890,Diesel,Individual,Manual,Second Owner,7,13.6,2523,63,2100
2018,7976,Diesel,Individual,Automatic,First Owner,5,17.9,2143,170,46000
2016,35000,Petrol,Individual,Manual,First Owner,8,16.8,796,34.2,2200
2017,35000,Petrol,Individual,Manual,First Owner,5,18.9,1197,82,4500
2017,35000,Petrol,Individual,Manual,First Owner,5,18.9,1197,82,4500
2013,50000,Petrol,Individual,Automatic,First Owner,5,16.95,1197,78.9,2900
2016,20000,Petrol,Individual,Manual,First Owner,5,20.4,1197,81.8,5200
2011,20000,Petrol,Individual,Automatic,First Owner,5,16.95,1197,78.9,2650
2012,50000,Petrol,Individual,Manual,Second Owner,5,18.6,1197,85.8,3300
2012,50000,Petrol,Individual,Manual,Second Owner,5,18.6,1197,85.8,3300
2014,120000,Diesel,Individual,Manual,First Owner,7,15.96,2523,62.1,5099.99
2014,70000,Petrol,Individual,Manual,First Owner,5,17.1,1591,121.3,5000
2015,50000,Petrol,Individual,Manual,First Owner,5,17.19,1197,81.86,5250
2019,16500,Petrol,Individual,Manual,First Owner,5,21.01,1197,81.8,6750
2010,70000,Petrol,Individual,Manual,First Owner,5,17,1197,80,3000
2005,99361,Petrol,Individual,Manual,Second Owner,5,19.7,796,46.3,900
2017,25000,Diesel,Individual,Manual,First Owner,5,26.59,1248,74,6500
2014,70000,Petrol,Individual,Manual,Second Owner,5,19.1,1197,85.8,4090
2015,80000,Diesel,Individual,Manual,Second Owner,5,24,1120,70,3950
2014,70000,Petrol,Individual,Manual,Second Owner,5,19.1,1197,85.8,4000
2012,60000,Petrol,Individual,Manual,Third Owner,5,18.6,1199,79.4,1200
2018,10000,Petrol,Individual,Automatic,First Owner,5,20.3,1199,84,6450
2006,80000,Petrol,Individual,Manual,First Owner,4,16.1,796,37,810
2017,30000,Diesel,Individual,Manual,First Owner,5,25.6,1498,97.9,13000
2017,33000,Diesel,Individual,Manual,First Owner,5,25.6,1498,97.9,12500
2013,90000,Petrol,Individual,Manual,Third Owner,7,16.02,1373,93.7,5350
2014,80100,Diesel,Individual,Manual,Second Owner,5,19.01,1461,108.5,5550
2014,120000,Petrol,Individual,Manual,First Owner,5,17.4,1497,117.3,7250
2016,40000,Petrol,Individual,Manual,First Owner,5,25.17,799,53.3,2299.99
2013,160000,Diesel,Individual,Manual,Second Owner,8,12.99,2494,100.6,8000
2017,47000,Petrol,Individual,Manual,First Owner,5,20.51,998,67.04,4099.99
2018,25000,Diesel,Individual,Manual,First Owner,5,21.38,1396,88.7,12100
2017,26000,Petrol,Individual,Manual,First Owner,5,23.84,1199,84,4000
2018,29000,Diesel,Individual,Manual,First Owner,5,24,1186,73.97,5200
2016,50000,Petrol,Individual,Automatic,First Owner,5,21.4,1197,83.1,6500
2011,58000,Petrol,Individual,Manual,Third Owner,5,16.1,1298,88.2,3250
2012,120000,Petrol,Individual,Automatic,First Owner,5,17.4,1197,85.8,4200
2014,50000,Petrol,Individual,Manual,First Owner,5,20.4,1197,81.8,4000
2010,80000,Petrol,Individual,Manual,Fourth & Above Owner,5,17,1197,80,2549.99
2003,60000,Petrol,Individual,Manual,Fourth & Above Owner,5,17.3,993,60,650
2017,36000,Petrol,Individual,Manual,First Owner,5,23.1,998,67.04,3510
2007,120000,Diesel,Individual,Manual,Third Owner,8,12.8,2494,102,4040
2011,185000,Diesel,Individual,Manual,Third Owner,5,21.1,1248,73.9,1850
2011,50000,Diesel,Individual,Manual,First Owner,5,23.08,1461,63.1,2500
2002,100000,Petrol,Individual,Manual,Fourth & Above Owner,5,17.3,993,60,600
2013,50000,Petrol,Individual,Manual,Second Owner,5,17.1,1591,121.3,5000
2007,80000,Petrol,Individual,Manual,Second Owner,5,18.2,998,67.1,850
2005,80000,Petrol,Individual,Manual,Fourth & Above Owner,5,19.7,796,46.3,850
2011,90000,Diesel,Individual,Manual,Fourth & Above Owner,5,19.3,1248,73.9,2650
2010,162000,Petrol,Individual,Manual,Second Owner,5,19,998,66.1,1300
2013,110000,Diesel,Individual,Manual,Third Owner,7,20.77,1248,88.76,4800
2008,120000,Diesel,Individual,Manual,Third Owner,5,17.8,1248,75,1700
2011,45000,Diesel,Individual,Manual,First Owner,5,23.08,1461,63.1,2750
2005,90000,Petrol,Individual,Manual,Second Owner,5,18.9,998,67.1,890
2010,90000,Diesel,Individual,Manual,Second Owner,5,20,1399,68,1700
2019,16500,Petrol,Dealer,Manual,First Owner,5,17,1197,110,10900
2017,67000,Diesel,Individual,Automatic,First Owner,5,17.01,1582,126.2,11000
2018,52000,Petrol,Dealer,Manual,First Owner,5,22,1197,81.8,6100
2016,40000,Petrol,Dealer,Manual,First Owner,5,20.63,1198,67,3350
2015,40000,Petrol,Dealer,Manual,First Owner,5,18.9,1197,82,4349.99
2018,35000,Diesel,Individual,Manual,First Owner,7,14.24,2755,174.5,30000
2018,13000,Petrol,Dealer,Manual,First Owner,5,20.71,799,53.26,3900
2012,40000,Petrol,Dealer,Manual,First Owner,5,18.5,1198,86.8,3250
2019,10000,Petrol,Dealer,Manual,First Owner,5,17,1198,73.75,6400
2012,9000,Petrol,Dealer,Manual,First Owner,5,16.95,1498,97.7,4500
2013,70000,Diesel,Dealer,Manual,Second Owner,5,23.59,1364,67.06,4000
2009,60000,Petrol,Dealer,Manual,First Owner,5,20.36,1197,78.9,2150
2014,40000,Diesel,Dealer,Manual,First Owner,5,20.45,1461,83.8,5700
2012,93000,Diesel,Dealer,Manual,First Owner,7,15.1,2179,140,6800
2008,80000,Diesel,Individual,Manual,Fourth & Above Owner,7,12.8,2494,102,3250
2011,50000,Petrol,Individual,Manual,Second Owner,5,15.64,1193,64.08,1500
2013,68000,Petrol,Dealer,Automatic,First Owner,5,14.5,1797,147.5,6900
2013,25000,Diesel,Individual,Automatic,First Owner,5,14.84,2143,170,15500
2012,18000,Petrol,Dealer,Manual,First Owner,4,25.4,624,37.5,640
2013,120000,Diesel,Individual,Manual,First Owner,5,23.08,1461,63.1,2500
